Date,ES1 Index (1.) 6M 90% Imp Vol,ES1 Index (2.) 6M 110% Imp Vol,ES1 Spread(Abs)
12/31/07,22.6287,20.4787,2.15
12/28/07,21.4255,21.4255,0
12/27/07,22.5753,20.8186,1.756
12/26/07,20.4907,17.7897,2.701
12/24/07,21.4969,19.0221,2.475
12/21/07,19.9192,19.3272,0.592
12/20/07,23.1792,19.515,3.664
12/19/07,22.5096,21.589,0.921
12/18/07,23.7633,21.5507,2.212
12/17/07,24.1174,22.0217,2.095
12/14/07,23.3587,21.1071,2.252
12/13/07,23.5552,20.7696,2.785
12/12/07,21.4255,21.2493,0.177
12/11/07,17.7914,17.4971,0.294
12/10/07,20.8544,20.4545,0.399
12/7/07,21.3807,19.4541,1.927
12/6/07,22.0617,19.719,2.343
12/5/07,22.6542,20.1265,2.527
12/4/07,23.5624,22.1748,1.387
12/3/07,22.9574,20.7489,2.208
11/30/07,24.2057,20.8428,3.363
11/29/07,23.9324,21.3043,2.628
11/28/07,23.5355,21.2047,2.331
11/27/07,26.1928,24.019,2.174
11/26/07,26.9603,24.6623,2.298
11/23/07,24.9242,24.0909,0.833
11/21/07,24.883,23.6896,1.193
11/20/07,26.0217,22.2293,3.793
11/19/07,24.5942,22.9524,1.642
11/16/07,24.3157,22.9921,1.324
11/15/07,24.146,22.4749,1.671
11/14/07,22.6299,21.3495,1.28
11/13/07,23.662,20.9111,2.751
11/12/07,26.2543,24.6838,1.57
11/9/07,24.4941,24.4941,0
11/8/07,23.3502,22.1551,1.195
11/7/07,22.5359,22.5359,0
11/6/07,20.5589,19.2634,1.296
11/5/07,20.4524,20.3549,0.097
11/2/07,21.6254,18.9492,2.676
11/1/07,20.5565,19.9105,0.646
10/31/07,19.1473,17.562,1.585
10/30/07,19.9798,18.4632,1.517
10/29/07,19.6291,17.8927,1.736
10/26/07,18.8137,17.8492,0.965
10/25/07,18.1739,18.0109,0.163
10/24/07,19.0799,19.0799,0
10/23/07,20.689,19.1635,1.525
10/22/07,20.897,18.856,2.041
10/19/07,22.334,19.0313,3.303
10/18/07,17.6613,17.6613,0
10/17/07,17.7951,17.6075,0.187
10/16/07,19.0594,18.8657,0.193
10/15/07,18.9453,17.7063,1.239
10/12/07,16.9486,15.9088,1.04
10/11/07,18.4459,17.0982,1.348
10/10/07,17.8296,16.7839,1.046
10/9/07,16.7438,15.6861,1.058
10/8/07,17.8621,14.7191,3.143
10/5/07,16.7942,16.7942,0
10/4/07,17.1783,17.1783,0
10/3/07,17.369,16.1206,1.248
10/2/07,17.1789,16.5504,0.629
10/1/07,16.7523,15.9503,0.802
9/28/07,17.8078,17.8078,0
9/27/07,15.3858,15.3858,0
9/26/07,17.0116,16.3077,0.704
9/25/07,17.6154,16.848,0.767
9/24/07,19.0133,16.3271,2.686
9/21/07,17.0928,17.0157,0.077
9/20/07,18.5951,16.6669,1.928
9/19/07,18.4601,16.541,1.919
9/18/07,20.1593,16.7181,3.441
9/17/07,23.4396,20.2852,3.155
9/14/07,19.4217,19.1724,0.25
9/13/07,23.3218,19.3967,3.925
9/12/07,23.8343,20.0644,3.77
9/11/07,19.4784,19.1336,0.344
9/10/07,22.5774,20.8457,1.731
9/7/07,21.9292,20.2956,1.633
9/6/07,20.6377,18.9666,1.671
9/5/07,22.5268,19.1364,3.391
9/4/07,20.4669,17.7242,2.743
8/31/07,21.3945,18.234,3.161
8/30/07,22.9678,19.4805,3.487
8/29/07,21.5864,19.0388,2.547
8/28/07,22.2872,20.1286,2.158
8/27/07,20.2688,17.777,2.492
8/24/07,20.0466,16.9223,3.125
8/23/07,20.4556,18.1548,2.301
8/22/07,19.693,17.7409,1.952
8/21/07,22.139,19.5204,2.619
8/20/07,23.2302,20.0574,3.173
8/17/07,23.8435,21.2863,2.558
8/16/07,24.6569,21.6505,3.006
