Date,ES1 Index (1.) 1M 100% Imp Vol,ES1 Index (2.) Hist Vol (30)
12/31/07,21.2677,22.08295224
12/28/07,19.3096,22.00701168
12/27/07,18.6153,22.3987473
12/26/07,17.0668,22.03529246
12/24/07,16.8634,23.66846564
12/21/07,17.1902,23.11273717
12/20/07,19.6156,23.4012156
12/19/07,20.8949,23.33353907
12/18/07,22.3253,24.73725065
12/17/07,24.3647,25.00670611
12/14/07,22.3721,24.75016828
12/13/07,21.459,24.45647713
12/12/07,21.9033,25.56580341
12/11/07,22.4048,25.73329772
12/10/07,19.6922,24.53363434
12/7/07,19.8263,24.42742097
12/6/07,19.921,24.69959599
12/5/07,21.6255,24.32520604
12/4/07,22.9352,23.75519489
12/3/07,22.7651,23.81457819
11/30/07,21.8751,23.83424571
11/29/07,23.0753,24.92859971
11/28/07,23.2096,24.92401825
11/27/07,25.5569,22.90595095
11/26/07,28.0758,22.47753608
11/23/07,24.8684,21.73336104
11/21/07,25.7311,21.02928023
11/20/07,23.4667,20.42267885
11/19/07,24.1188,20.24319821
11/16/07,23.0213,20.15470968
11/15/07,26.4035,20.13412059
11/14/07,24.0914,20.27939703
11/13/07,23.3812,20.28606878
11/12/07,28.2072,17.86551258
11/9/07,26.0678,17.71269153
11/8/07,24.2024,17.82940656
11/7/07,24.7163,17.81821218
11/6/07,19.616,15.87482703
11/5/07,22.5038,15.43093809
11/2/07,20.2814,15.2659523
11/1/07,21.7338,15.26048025
10/31/07,16.6922,13.3661655
10/30/07,19.7315,13.02329056
10/29/07,18.235,12.92347407
10/26/07,17.9863,15.41633511
10/25/07,19.7566,15.2332012
10/24/07,19.162,15.23197718
10/23/07,18.3939,15.27275789
10/22/07,19.9577,15.13446853
10/19/07,20.6186,15.44449193
10/18/07,16.6306,12.86063752
10/17/07,16.5678,13.57172456
10/16/07,18.1542,13.56363982
10/15/07,17.879,13.60234017
10/12/07,15.6101,13.33987397
10/11/07,17.0385,13.52136669
10/10/07,14.7165,13.41831501
10/9/07,14.2042,14.20087681
10/8/07,15.3389,15.91243648
10/5/07,14.3133,16.13791115
10/4/07,16.139,16.11988106
10/3/07,16.1448,16.15152445
10/2/07,16.2989,16.40945982
10/1/07,15.3378,16.37730827
9/28/07,16.168,16.13285263
9/27/07,14.8025,16.67390265
9/26/07,15.754,16.70568408
9/25/07,16.6204,17.42357286
9/24/07,16.9901,18.08540788
9/21/07,16.6632,18.0659258
9/20/07,17.8828,18.03830926
9/19/07,17.6776,20.40578257
9/18/07,18.7929,20.77118017
9/17/07,24.375,19.13443582
9/14/07,22.2538,19.69171127
9/13/07,22.5862,21.34456661
9/12/07,22.9915,21.40539651
9/11/07,22.9691,21.4550425
9/10/07,25.1745,21.47871983
9/7/07,23.5933,21.99254471
9/6/07,21.5132,22.47933836
9/5/07,21.9665,23.60094302
9/4/07,20.1449,23.49137631
8/31/07,21.3046,23.80890071
8/30/07,22.4184,23.55631514
8/29/07,20.8487,23.66505229
8/28/07,23.0512,22.83186104
8/27/07,19.6559,22.0607948
8/24/07,17.6772,21.94741219
8/23/07,20.0465,21.56775766
8/22/07,20.0263,21.6164164
8/21/07,22.5974,21.85022876
8/20/07,23.4777,22.00603154
8/17/07,25.2987,22.34620104
8/16/07,29.8496,21.49619558
