Date,ES1 Index (1.) 3M 90% Imp Vol,ES1 Index (2.) 3M 110% Imp Vol,ES1 Spread(Abs)
12/31/07,22.6287,20.4787,2.15
12/28/07,21.2911,20.3043,0.987
12/27/07,22.2125,18.9524,3.261
12/26/07,20.4907,17.7897,2.701
12/24/07,21.2669,17.7586,3.508
12/21/07,21.5371,18.1871,3.35
12/20/07,23.1445,19.4964,3.649
12/19/07,23.7049,20.5405,3.164
12/18/07,23.6111,21.5258,2.085
12/17/07,24.3569,22.0556,2.301
12/14/07,23.1556,21.3676,1.788
12/13/07,23.2895,20.7172,2.573
12/12/07,22.0804,19.8503,2.23
12/11/07,22.9957,21.1839,1.812
12/10/07,21.1027,19.1678,1.935
12/7/07,21.2811,19.0638,2.217
12/6/07,20.6341,19.325,1.309
12/5/07,22.1528,20.4189,1.734
12/4/07,23.9094,21.7855,2.123
12/3/07,22.9787,20.5293,2.45
11/30/07,24.2589,20.2861,3.973
11/29/07,22.0939,21.1664,0.928
11/28/07,23.9338,20.849,3.085
11/27/07,24.8633,24.2239,0.639
11/26/07,26.1163,25.508,0.608
11/23/07,25.799,25.0345,0.764
11/21/07,25.0181,24.8777,0.14
11/20/07,25.636,21.6407,3.995
11/19/07,25.9495,22.6009,3.349
11/16/07,23.908,22.2705,1.637
11/15/07,24.0875,22.3619,1.726
11/14/07,21.9084,21.0586,0.849
11/13/07,23.2666,20.186,3.081
11/12/07,27.5125,24.0829,3.43
11/9/07,24.9116,23.8083,1.104
11/8/07,23.7545,21.9757,1.779
11/7/07,24.1332,21.713,2.42
11/6/07,20.8693,18.4772,2.392
11/5/07,22.6344,19.9607,2.673
11/2/07,21.6254,18.9492,2.676
11/1/07,21.355,19.0935,2.261
10/31/07,19.1758,16.3334,2.843
10/30/07,19.9629,18.4638,1.499
10/29/07,18.9668,18.0474,0.92
10/26/07,19.6401,19.5467,0.093
10/25/07,18.1739,18.0109,0.163
10/24/07,19.9269,17.7601,2.167
10/23/07,18.3092,18.2354,0.074
10/22/07,18.8798,18.814,0.066
10/19/07,22.334,19.0313,3.303
10/18/07,19.1017,16.5588,2.543
10/17/07,18.6994,16.2628,2.436
10/16/07,20.2892,17.974,2.315
10/15/07,19.7208,16.5386,3.182
10/12/07,17.9995,14.9152,3.085
10/11/07,19.1212,15.8761,3.245
10/10/07,17.5792,14.7488,2.83
10/9/07,17.4787,14.1818,3.297
10/8/07,17.8621,14.7191,3.143
10/5/07,17.7904,14.2423,3.548
10/4/07,17.4793,15.5665,1.912
10/3/07,17.9613,15.3259,2.635
10/2/07,17.5792,15.5466,2.032
10/1/07,18.1447,14.6931,3.452
9/28/07,18.4947,15.4654,3.03
9/27/07,17.908,14.3406,3.567
9/26/07,18.4522,15.0459,3.406
9/25/07,18.5355,16.0494,2.487
9/24/07,19.0209,15.6382,3.383
9/21/07,19.3454,15.8636,3.481
9/20/07,18.7187,16.6325,2.086
9/19/07,19.5727,15.9767,3.596
9/18/07,20.0358,16.6447,3.391
9/17/07,23.3975,20.6937,2.704
9/14/07,22.9591,20.2513,2.708
9/13/07,23.3598,19.4231,3.937
9/12/07,24.2541,20.1126,4.141
9/11/07,22.9423,19.671,3.271
9/10/07,23.9275,21.446,2.482
9/7/07,24.4017,20.7266,3.675
9/6/07,21.4781,18.9668,2.511
9/5/07,22.9768,19.4019,3.575
9/4/07,20.2316,18.2363,1.996
8/31/07,21.6782,18.5643,3.114
8/30/07,21.7806,19.6911,2.09
8/29/07,20.6832,18.9151,1.768
8/28/07,23.2317,20.8995,2.332
8/27/07,19.452,17.9565,1.495
8/24/07,20.7349,16.3669,4.368
8/23/07,21.5369,18.0257,3.511
8/22/07,19.1697,17.4662,1.704
8/21/07,22.5842,20.6696,1.914
8/20/07,22.3615,20.3881,1.974
8/17/07,25.4465,21.7608,3.686
8/16/07,26.7188,22.4218,4.297
