Date,1_Future,1_PX_LAST,1_DAILY_RETURN,1_PX_VOLUME,1_DAYS_UNTIL_EXP
6/29/17,N17,12.025,0.029978587,346676,20
6/28/17,N17,11.675,-0.029106029,121510,21
6/27/17,N17,12.025,0.034408602,154973,22
6/26/17,N17,11.625,-0.021052632,92635,23
6/23/17,N17,11.875,-0.008350731,97939,26
6/22/17,N17,11.975,-0.016427105,81313,27
6/21/17,M17,11.15,0.002247191,4668,0
6/20/17,M17,11.125,0.022988506,116974,1
6/19/17,M17,10.875,-0.039735099,111662,2
6/16/17,M17,11.325,-0.017353579,101780,5
6/15/17,M17,11.525,0.004357298,132732,6
6/14/17,M17,11.475,0.004376368,131926,7
6/13/17,M17,11.425,-0.037894737,112821,8
6/12/17,M17,11.875,0.012793177,145636,9
6/9/17,M17,11.725,0.008602151,204702,12
6/8/17,M17,11.625,-0.021052632,101353,13
6/7/17,M17,11.875,-0.008350731,95706,14
6/6/17,M17,11.975,0.016985138,90264,15
6/5/17,M17,11.775,0.012903226,64736,16
6/2/17,M17,11.625,0,72055,19
6/1/17,M17,11.625,-0.016913319,103056,20
5/31/17,M17,11.825,0,151162,21
5/30/17,M17,11.825,-0.008385744,84137,22
5/26/17,M17,11.925,-0.008316008,78150,26
5/25/17,M17,12.025,0.004175365,123330,27
5/24/17,M17,11.975,-0.028397566,116862,28
5/23/17,M17,12.325,0.008179959,114747,29
5/22/17,M17,12.225,-0.039292731,139195,30
5/19/17,M17,12.725,-0.108581436,237934,33
5/18/17,M17,14.275,0.003514938,296890,34
5/17/17,K17,12.2,0.101580135,12383,0
5/16/17,K17,11.075,0.023094688,100264,1
5/15/17,K17,10.825,-0.035634744,88123,2
5/12/17,K17,11.225,-0.01750547,89206,5
5/11/17,K17,11.425,-0.00867679,125169,6
5/10/17,K17,11.525,0.008752735,72093,7
5/9/17,K17,11.425,0,111923,8
5/8/17,K17,11.425,-0.029723992,86820,9
5/5/17,K17,11.775,0.004264392,95394,12
5/4/17,K17,11.725,-0.028985507,124654,13
5/3/17,K17,12.075,0.021141649,88112,14
5/2/17,K17,11.825,0,89674,15
5/1/17,K17,11.825,-0.036659878,92350,16
4/28/17,K17,12.275,-0.008080808,94490,19
4/27/17,K17,12.375,0,78951,20
4/26/17,K17,12.375,-0.008016032,113096,21
4/25/17,K17,12.475,-0.015779093,116455,22
4/24/17,K17,12.675,-0.115183246,205374,23
4/21/17,K17,14.325,0,120008,26
4/20/17,K17,14.325,-0.017152659,128508,27
4/19/17,J17,14.3,-0.028862479,4871,0
4/18/17,J17,14.725,-0.023217247,95583,1
4/17/17,J17,15.075,-0.076569678,66840,2
4/13/17,J17,16.325,0.003072197,121362,6
4/12/17,J17,16.275,0.018779343,127637,7
4/11/17,J17,15.975,0.063227953,193738,8
4/10/17,J17,15.025,0.071301248,137449,9
4/7/17,J17,14.025,0.033149171,153606,12
4/6/17,J17,13.575,-0.021621622,110037,13
4/5/17,J17,13.875,0.049149338,112892,14
4/4/17,J17,13.225,-0.018552876,85457,15
4/3/17,J17,13.475,0.015065913,125277,16
3/31/17,J17,13.275,0.035087719,82994,19
3/30/17,J17,12.825,-0.007736944,80542,20
3/29/17,J17,12.925,0,77180,21
3/28/17,J17,12.925,-0.047882136,116736,22
3/27/17,J17,13.575,-0.02513465,142968,23
3/24/17,J17,13.925,-0.024518389,144391,26
3/23/17,J17,14.275,0.02513465,124057,27
3/22/17,H17,12.15,-0.002053388,4264,0
3/21/17,H17,12.175,0.047311828,157788,1
3/20/17,H17,11.625,-0.012738854,106090,2
3/17/17,H17,11.775,-0.012578616,114160,5
3/16/17,H17,11.925,-0.028513238,109956,6
3/15/17,H17,12.275,-0.027722772,108082,7
3/14/17,H17,12.625,0.041237113,140081,8
3/13/17,H17,12.125,-0.031936128,65889,9
3/10/17,H17,12.525,-0.019569472,89296,12
3/9/17,H17,12.775,0.007889546,95007,13
3/8/17,H17,12.675,0.003960396,95364,14
3/7/17,H17,12.625,-0.003944773,95016,15
3/6/17,H17,12.675,-0.011695906,67782,16
3/3/17,H17,12.825,-0.033898305,93120,19
3/2/17,H17,13.275,0,108845,20
3/1/17,H17,13.275,-0.018484288,109579,21
2/28/17,H17,13.525,0.018832392,95794,22
2/27/17,H17,13.275,-0.003752345,68446,23
2/24/17,H17,13.325,-0.014787431,116335,26
2/23/17,H17,13.525,0.02268431,99630,27
2/22/17,H17,13.225,0.003795066,81254,28
2/21/17,H17,13.175,0.003809524,87606,29
2/17/17,H17,13.125,0.011560694,108521,33
2/16/17,H17,12.975,0.00776699,153809,34
2/15/17,G17,11.5,0.029082774,6382,0
2/14/17,G17,11.175,-0.021881838,96657,1
2/13/17,G17,11.425,-0.025586354,82480,2
2/10/17,G17,11.725,-0.024948025,72055,5
2/9/17,G17,12.025,-0.043737575,104432,6
2/8/17,G17,12.575,0,91446,7
2/7/17,G17,12.575,0.008016032,77882,8
2/6/17,G17,12.475,0,80783,9
2/3/17,G17,12.475,-0.034816248,76708,12
2/2/17,G17,12.925,0.019723866,75082,13
2/1/17,G17,12.675,-0.01934236,86685,14
1/31/17,G17,12.925,0.003883495,99841,15
1/30/17,G17,12.875,0.027944112,125768,16
1/27/17,G17,12.525,-0.01183432,53232,19
1/26/17,G17,12.675,-0.003929273,57383,20
1/25/17,G17,12.725,-0.02303263,75208,21
1/24/17,G17,13.025,-0.040515654,80397,22
1/23/17,G17,13.575,-0.018083183,78041,23
1/20/17,G17,13.825,-0.028119508,107123,26
1/19/17,G17,14.225,0.003527337,83780,27
1/18/17,F17,11.86,-0.02587269,4046,0
1/17/17,F17,12.175,0,107071,1
1/13/17,F17,12.175,-0.024048096,94082,5
1/12/17,F17,12.475,-0.003992016,117050,6
1/11/17,F17,12.525,-0.027184466,104871,7
1/10/17,F17,12.875,-0.003868472,78611,8
1/9/17,F17,12.925,0.003883495,74844,9
1/6/17,F17,12.875,-0.011516315,74955,12
1/5/17,F17,13.025,-0.011385199,62929,13
1/4/17,F17,13.175,-0.043557169,75213,14
1/3/17,F17,13.775,-0.089256198,96159,15
12/30/16,F17,15.125,0.020236088,55180,19
12/29/16,F17,14.825,0.013675214,45622,20
12/28/16,F17,14.625,0.046511628,62297,21
12/27/16,F17,13.975,-0.021015762,32058,22
12/23/16,F17,14.275,0,42411,26
12/22/16,F17,14.275,0.017825312,70606,27
12/21/16,Z16,11.45,-0.010799136,3097,0
12/20/16,Z16,11.575,-0.045360825,79258,1
12/19/16,Z16,12.125,-0.047151277,78073,2
12/16/16,Z16,12.725,-0.02303263,95629,5
12/15/16,Z16,13.025,-0.029795158,96977,6
12/14/16,Z16,13.425,0.011299435,136833,7
12/13/16,Z16,13.275,-0.011173184,92517,8
12/12/16,Z16,13.425,0.030710173,66913,9
12/9/16,Z16,13.025,-0.029795158,69810,12
12/8/16,Z16,13.425,0.00750469,116953,13
12/7/16,Z16,13.325,0.015238095,101937,14
12/6/16,Z16,13.125,-0.029574861,82224,15
12/5/16,Z16,13.525,-0.102819237,123548,16
12/2/16,Z16,15.075,0.003327787,89522,19
12/1/16,Z16,15.025,0.034423408,109419,20
11/30/16,Z16,14.525,0.017513135,80149,21
11/29/16,Z16,14.275,-0.010398614,51348,22
11/28/16,Z16,14.425,0.006980803,74233,23
11/25/16,Z16,14.325,-0.006932409,32270,26
11/23/16,Z16,14.425,0,65249,28
11/22/16,Z16,14.425,-0.003454231,87256,29
11/21/16,Z16,14.475,-0.033388982,64033,30
11/18/16,Z16,14.975,-0.003327787,85663,33
11/17/16,Z16,15.025,-0.035313002,89941,34
11/16/16,X16,13.85,0.049242424,3601,0
11/15/16,X16,13.2,-0.088082902,68720,1
11/14/16,X16,14.475,-0.030150754,87681,2
11/11/16,X16,14.925,-0.026101142,103742,5
11/10/16,X16,15.325,0.030252101,184752,6
11/9/16,X16,14.875,-0.06885759,275642,7
11/8/16,X16,15.975,-0.003120125,125997,8
11/7/16,X16,16.025,-0.17076326,126326,9
11/4/16,X16,19.325,-0.022756005,149835,12
11/3/16,X16,19.775,0.067476383,135362,13
11/2/16,X16,18.525,0.039270687,125965,14
11/1/16,X16,17.825,0.034833091,152004,15
10/31/16,X16,17.225,0.036090226,91136,16
10/28/16,X16,16.625,0.034214619,163731,19
10/27/16,X16,16.075,0.0288,100804,20
10/26/16,X16,15.625,0.026272578,90214,21
10/25/16,X16,15.225,0.020100503,72584,22
10/24/16,X16,14.925,-0.041733547,65641,23
10/21/16,X16,15.575,-0.012678288,77630,26
10/20/16,X16,15.775,-0.018662519,80871,27
10/19/16,V16,15.2,-0.03030303,3939,0
10/18/16,V16,15.675,-0.051437216,72524,1
10/17/16,V16,16.525,-0.006015038,78748,2
10/14/16,V16,16.625,-0.02349486,100700,5
10/13/16,V16,17.025,0.04287902,140409,6
10/12/16,V16,16.325,0.031595577,97902,7
10/11/16,V16,15.825,0.078364566,134637,8
10/10/16,V16,14.675,-0.042414356,63595,9
10/7/16,V16,15.325,0.023372287,108583,12
10/6/16,V16,14.975,-0.009917355,66507,13
10/5/16,V16,15.125,-0.013050571,70687,14
10/4/16,V16,15.325,-0.009693053,131217,15
10/3/16,V16,15.475,-0.019017433,77285,16
9/30/16,V16,15.775,-0.009419152,110757,19
9/29/16,V16,15.925,0.045977011,188284,20
9/28/16,V16,15.225,-0.019323671,96155,21
9/27/16,V16,15.525,-0.046082949,103318,22
9/26/16,V16,16.275,0.04494382,109174,23
9/23/16,V16,15.575,0.016313214,102138,26
9/22/16,V16,15.325,-0.046656299,108315,27
9/21/16,U16,15.3,-0.036220472,1771,0
9/20/16,U16,15.875,0.012759171,74231,1
9/19/16,U16,15.675,-0.021840874,83892,2
9/16/16,U16,16.025,-0.061493411,98075,5
9/15/16,U16,17.075,-0.070748299,108195,6
9/14/16,U16,18.375,0.033755274,135161,7
9/13/16,U16,17.775,0.159869494,248857,8
9/12/16,U16,15.325,-0.069802731,201804,9
9/9/16,U16,16.475,0.231775701,196861,12
9/8/16,U16,13.375,0.011342155,62372,13
9/7/16,U16,13.225,-0.011214953,62423,14
9/6/16,U16,13.375,-0.039497307,64769,15
9/2/16,U16,13.925,-0.044596913,81661,19
9/1/16,U16,14.575,0,76373,20
8/31/16,U16,14.575,0.003442341,72241,21
8/30/16,U16,14.525,-0.010221465,63035,22
8/29/16,U16,14.675,-0.029752066,64034,23
8/26/16,U16,15.125,0.010016694,116618,26
8/25/16,U16,14.975,-0.009917355,72700,27
8/24/16,U16,15.125,0.030664395,68070,28
8/23/16,U16,14.675,-0.003395586,58124,29
8/22/16,U16,14.725,0.003407155,72937,30
8/19/16,U16,14.675,0.006861063,59869,33
8/18/16,U16,14.575,-0.016863406,65419,34
8/17/16,Q16,12.65,-0.013645224,4562,0
8/16/16,Q16,12.825,0.049079755,80281,1
8/15/16,Q16,12.225,-0.00811359,71413,2
8/12/16,Q16,12.325,-0.023762376,73809,5
8/11/16,Q16,12.625,-0.019417476,86322,6
8/10/16,Q16,12.875,0.04040404,89405,7
8/9/16,Q16,12.375,-0.008016032,97247,8
8/8/16,Q16,12.475,-0.031067961,56664,9
8/5/16,Q16,12.875,-0.040968343,74312,12
8/4/16,Q16,13.425,-0.028933092,76294,13
8/3/16,Q16,13.825,-0.028119508,68979,14
8/2/16,Q16,14.225,0.044036697,120215,15
8/1/16,Q16,13.625,-0.014466546,91967,16
7/29/16,Q16,13.825,-0.03826087,79284,19
7/28/16,Q16,14.375,-0.027072758,81695,20
7/27/16,Q16,14.775,-0.026359143,91464,21
7/26/16,Q16,15.175,-0.009787928,66206,22
7/25/16,Q16,15.325,-0.003252033,80150,23
7/22/16,Q16,15.375,-0.028436019,68205,26
7/21/16,Q16,15.825,0.022617124,96801,27
7/20/16,N16,11.8,-0.034764826,2862,0
7/19/16,N16,12.225,-0.06500956,70862,1
7/18/16,N16,13.075,-0.054249548,82582,2
7/15/16,N16,13.825,-0.01426025,85485,5
7/14/16,N16,14.025,-0.010582011,84215,6
7/13/16,N16,14.175,-0.007005254,89925,7
7/12/16,N16,14.275,-0.023931624,87135,8
7/11/16,N16,14.625,-0.010152284,72210,9
7/8/16,N16,14.775,-0.072213501,94887,12
7/7/16,N16,15.925,-0.015455951,99305,13
7/6/16,N16,16.175,-0.038632987,112994,14
7/5/16,N16,16.825,0.002980626,111558,15
7/1/16,N16,16.775,-0.011782032,92077,19
6/30/16,N16,16.975,-0.028612303,123919,20
6/29/16,N16,17.475,-0.074172185,123708,21
6/28/16,N16,18.875,-0.201902748,178878,22
6/27/16,N16,23.65,0.04415011,210409,23
6/24/16,N16,22.65,0.35832084,352468,26
6/23/16,N16,16.675,-0.141570142,149256,27
6/22/16,N16,19.425,0.040160643,111337,28
6/21/16,N16,18.675,0.01082544,104825,29
6/20/16,N16,18.475,-0.079701121,122612,30
6/17/16,N16,20.075,0.002496879,111858,33
6/16/16,N16,20.025,-0.02673147,166538,34
6/15/16,M16,19.9,-0.032806804,1866,0
6/14/16,M16,20.575,-0.035169988,133976,1
6/13/16,M16,21.325,0.216833096,182968,2
6/10/16,M16,17.525,0.132471729,138984,5
6/9/16,M16,15.475,0.033388982,87028,6
6/8/16,M16,14.975,0.016977929,92235,7
6/7/16,M16,14.725,0.017271157,87967,8
6/6/16,M16,14.475,-0.016977929,67610,9
6/3/16,M16,14.725,-0.006745363,98048,12
6/2/16,M16,14.825,-0.029459902,84352,13
6/1/16,M16,15.275,0,84088,14
5/31/16,M16,15.275,-0.006504065,93513,15
5/27/16,M16,15.375,-0.028436019,67388,19
5/26/16,M16,15.825,-0.021638331,67094,20
5/25/16,M16,16.175,-0.018209408,91602,21
5/24/16,M16,16.475,-0.062588905,97140,22
5/23/16,M16,17.575,0.014430014,73343,23
5/20/16,M16,17.325,-0.036161335,93196,26
5/19/16,M16,17.975,-0.069857697,114000,27
5/18/16,K16,15.6,0.011345219,2698,0
5/17/16,K16,15.425,0.019834711,84692,1
5/16/16,K16,15.125,-0.047244094,83483,2
5/13/16,K16,15.875,0.042692939,93839,5
5/12/16,K16,15.225,-0.0256,101492,6
5/11/16,K16,15.625,0.075731497,88261,7
5/10/16,K16,14.525,-0.061389338,88809,8
5/9/16,K16,15.475,-0.015898251,74304,9
5/6/16,K16,15.725,-0.059790732,82708,12
5/5/16,K16,16.725,-0.008888889,62265,13
5/4/16,K16,16.875,0.015037594,83934,14
5/3/16,K16,16.625,0.053882726,103111,15
5/2/16,K16,15.775,-0.065185185,96733,16
4/29/16,K16,16.875,0.024279211,151273,19
4/28/16,K16,16.475,0.064620355,109656,20
4/27/16,K16,15.475,-0.028257457,84037,21
4/26/16,K16,15.925,-0.018489985,69363,22
4/25/16,K16,16.225,0.00309119,63269,23
4/22/16,K16,16.175,-0.035767511,81692,26
4/21/16,K16,16.775,0.02130898,85688,27
4/20/16,J16,12.66,-0.044528302,3269,0
4/19/16,J16,13.25,-0.04159132,73402,1
4/18/16,J16,13.825,-0.061120543,80471,2
4/15/16,J16,14.725,0.003407155,77048,5
4/14/16,J16,14.675,-0.010118044,66531,6
4/13/16,J16,14.825,-0.069073783,70525,7
4/12/16,J16,15.925,-0.067349927,87991,8
4/11/16,J16,17.075,0.023988006,70272,9
4/8/16,J16,16.675,-0.034732272,72865,12
4/7/16,J16,17.275,0.1056,98500,13
4/6/16,J16,15.625,-0.068554396,74370,14
4/5/16,J16,16.775,0.053375196,89474,15
4/4/16,J16,15.925,0.032414911,57117,16
4/1/16,J16,15.425,-0.031397174,91189,19
3/31/16,J16,15.925,0.004731861,63956,20
3/30/16,J16,15.85,-0.01399689,88052,21
3/29/16,J16,16.075,-0.061313869,87215,22
3/28/16,J16,17.125,-0.014388489,54046,23
3/24/16,J16,17.375,-0.019746121,77890,27
3/23/16,J16,17.725,0.053491828,71593,28
3/22/16,J16,16.825,-0.008836524,78958,29
3/21/16,J16,16.975,-0.042313117,75203,30
3/18/16,J16,17.725,-0.00281294,80394,33
3/17/16,J16,17.775,-0.027359781,87956,34
3/16/16,H16,17,0.00591716,4622,0
3/15/16,H16,16.9,-0.030129125,56142,1
3/14/16,H16,17.425,-0.011347518,52731,2
3/11/16,H16,17.625,-0.069920844,72884,5
3/10/16,H16,18.95,-0.00655308,106517,6
3/9/16,H16,19.075,-0.028025478,55521,7
3/8/16,H16,19.625,0.056527591,69820,8
3/7/16,H16,18.575,-0.018494055,53324,9
3/4/16,H16,18.925,0.032742156,73630,12
3/3/16,H16,18.325,-0.049286641,85470,13
3/2/16,H16,19.275,-0.007722008,63260,14
3/1/16,H16,19.425,-0.107921929,80638,15
2/29/16,H16,21.775,0.013969732,60669,16
2/26/16,H16,21.475,0.031212485,74609,19
2/25/16,H16,20.825,-0.043628014,66880,20
2/24/16,H16,21.775,-0.018038331,91821,21
2/23/16,H16,22.175,0.05469679,80148,22
2/22/16,H16,21.025,-0.060335196,72809,23
2/19/16,H16,22.375,-0.017563117,82377,26
2/18/16,H16,22.775,-0.006543075,76669,27
2/17/16,G16,24.05,-0.027300303,3029,0
2/16/16,G16,24.725,-0.08,67094,1
2/12/16,G16,26.875,-0.044444444,71872,5
2/11/16,G16,28.125,0.070409134,153592,6
2/10/16,G16,26.275,0.005741627,75196,7
2/9/16,G16,26.125,0.027531957,101656,8
2/8/16,G16,25.425,0.05388601,101629,9
2/5/16,G16,24.125,0.045503792,98467,12
2/4/16,G16,23.075,0.013172338,72226,13
2/3/16,G16,22.775,-0.017259978,111563,14
2/2/16,G16,23.175,0.076655052,87872,15
2/1/16,G16,21.525,-0.004624277,66716,16
1/29/16,G16,21.625,-0.070891515,77753,19
1/28/16,G16,23.275,-0.021030494,80509,20
1/27/16,G16,23.775,0.037077426,89708,21
1/26/16,G16,22.925,-0.04578564,68459,22
1/25/16,G16,24.025,0.057205721,65710,23
1/22/16,G16,22.725,-0.093718843,97627,26
1/21/16,G16,25.075,0.014155713,140970,27
1/20/16,F16,28.3,0.094777563,4519,0
1/19/16,F16,25.85,-0.023607177,108712,1
1/15/16,F16,26.475,0.123011665,167943,5
1/14/16,F16,23.575,-0.046511628,143004,6
1/13/16,F16,24.725,0.1200453,128730,7
1/12/16,F16,22.075,-0.059637913,112826,8
1/11/16,F16,23.475,-0.071216617,161604,9
1/8/16,F16,25.275,0.074388948,132008,12
1/7/16,F16,23.525,0.157441574,175674,13
1/6/16,F16,20.325,0.046332046,111100,14
1/5/16,F16,19.425,-0.020176545,89874,15
1/4/16,F16,19.825,0.070175439,128809,16
12/31/15,F16,18.525,0.009536785,51414,20
12/30/15,F16,18.35,0.050071531,36993,21
12/29/15,F16,17.475,-0.019635344,52467,22
12/28/15,F16,17.825,-0.021947874,60002,23
12/24/15,F16,18.225,0.01958042,20563,27
12/23/15,F16,17.875,0.002805049,69011,28
12/22/15,F16,17.825,-0.05312085,75434,29
12/21/15,F16,18.825,-0.078335373,68708,30
12/18/15,F16,20.425,0.059662776,125152,33
12/17/15,F16,19.275,0.063448276,105702,34
12/16/15,Z15,19.9,-0.035151515,2280,0
12/15/15,Z15,20.625,-0.080267559,67919,1
12/14/15,Z15,22.425,-0.05179704,137386,2
12/11/15,Z15,23.65,0.223803364,174524,5
12/10/15,Z15,19.325,0.018445323,89897,6
12/9/15,Z15,18.975,0.067510549,134311,7
12/8/15,Z15,17.775,0.075642965,94325,8
12/7/15,Z15,16.525,0.018489985,88903,9
12/4/15,Z15,16.225,-0.114597544,120056,12
12/3/15,Z15,18.325,0.092399404,147914,13
12/2/15,Z15,16.775,0.040310078,88629,14
12/1/15,Z15,16.125,-0.050073638,69273,15
11/30/15,Z15,16.975,-0.011644833,61910,16
11/27/15,Z15,17.175,0.023845007,35436,19
11/25/15,Z15,16.775,-0.037302726,53186,21
11/24/15,Z15,17.425,0.02349486,70842,22
11/23/15,Z15,17.025,-0.022955524,58668,23
11/20/15,Z15,17.425,-0.041265475,67491,26
11/19/15,Z15,18.175,0.022503516,78277,27
11/18/15,X15,18.65,-0.0171278,3260,0
11/17/15,X15,18.975,0.049792531,62678,1
11/16/15,X15,18.075,-0.110701107,91679,2
11/13/15,X15,20.325,0.094212651,104559,5
11/12/15,X15,18.575,0.107302534,88007,6
11/11/15,X15,16.775,0.033898305,51543,7
11/10/15,X15,16.225,-0.046989721,60893,8
11/9/15,X15,17.025,0.086124402,84561,9
11/6/15,X15,15.675,-0.021840874,85094,12
11/5/15,X15,16.025,-0.041853513,71492,13
11/4/15,X15,16.725,0.037209302,75481,14
11/3/15,X15,16.125,0.015748031,58518,15
11/2/15,X15,15.875,-0.045112782,63291,16
10/30/15,X15,16.625,0.027820711,55607,19
10/29/15,X15,16.175,0.012519562,60914,20
10/28/15,X15,15.975,-0.030349014,90286,21
10/27/15,X15,16.475,-0.026587888,68308,22
10/26/15,X15,16.925,0.019578313,59762,23
10/23/15,X15,16.6,0.035881435,101126,26
10/22/15,X15,16.025,-0.120713306,120731,27
10/21/15,V15,15.5,-0.035769829,2045,0
10/20/15,V15,16.075,0.052373159,43840,1
10/19/15,V15,15.275,-0.051242236,56330,2
10/16/15,V15,16.1,-0.028657617,54167,5
10/15/15,V15,16.575,-0.095497954,61653,6
10/14/15,V15,18.325,0.002735978,204,7
10/13/15,V15,18.275,0.092675635,72230,8
10/12/15,V15,16.725,-0.079779917,59354,9
10/9/15,V15,18.175,-0.013568521,61144,12
10/8/15,V15,18.425,-0.053915276,72996,13
10/7/15,V15,19.475,-0.041820418,67427,14
10/6/15,V15,20.325,0.022641509,60123,15
