Date,ES_PX_LAST,ES_DAILY_RETURN,ES_PX_VOLUME
6/19/17,2447.5,0.005178879,1213287
6/16/17,2434.89,0.000262915,47304
6/15/17,2434.25,-0.001230895,470125
6/14/17,2437.25,-0.001127049,680887
6/13/17,2440,0.004735433,1027097
6/12/17,2428.5,-0.000822876,1248108
6/9/17,2430.5,-0.000822199,1580087
6/8/17,2432.5,0.000205592,1440605
6/7/17,2432,0.000514245,1405067
6/6/17,2430.75,-0.001540357,1344999
6/5/17,2434.5,-0.001333197,876858
6/2/17,2437.75,0.00339576,1712391
6/1/17,2429.5,0.007673165,1426040
5/31/17,2411,0.000103702,1712282
5/30/17,2410.75,-0.001242879,1030338
5/26/17,2413.75,0.000103584,859823
5/25/17,2413.5,0.004787677,1309737
5/24/17,2402,0.001668057,975714
5/23/17,2398,0.002194128,1021864
5/22/17,2392.75,0.004723913,1108280
5/19/17,2381.5,0.007615824,1654206
5/18/17,2363.5,0.002545069,2446565
5/17/17,2357.5,-0.016478932,2784613
5/16/17,2397,-0.000625391,1068724
5/15/17,2398.5,0.004081633,1025998
5/12/17,2388.75,-0.000941029,1069025
5/11/17,2391,-0.001774345,1349506
5/10/17,2395.25,0.000835684,992071
5/9/17,2393.25,-0.000730689,1100123
5/8/17,2395,-0.001146909,948984
5/5/17,2397.75,0.005135192,1117083
5/4/17,2385.5,0.000944089,1216759
5/3/17,2383.25,-0.001047889,1069079
5/2/17,2385.75,-0.00052367,949709
5/1/17,2387,0.002730519,897581
4/28/17,2380.5,-0.002305113,1145074
4/27/17,2386,0.001574142,1100596
4/26/17,2382.25,-0.00115304,1480057
4/25/17,2385,0.006329114,1313467
4/24/17,2370,0.009584665,1532426
4/21/17,2347.5,-0.001913265,1257878
4/20/17,2352,0.007820032,1445311
4/19/17,2333.75,-0.001497486,1237406
4/18/17,2337.25,-0.003304904,1424462
4/17/17,2345,0.007518797,970895
4/13/17,2327.5,-0.005660579,1574295
4/12/17,2340.75,-0.004359847,1521451
4/11/17,2351,-0.00063762,1844449
4/10/17,2352.5,0.000106281,1345921
4/7/17,2352.25,-0.000637281,1459651
4/6/17,2353.75,0.003089708,1576103
4/5/17,2346.5,-0.004243582,1925443
4/4/17,2356.5,0.000212224,1203495
4/3/17,2356,-0.001377556,1696546
3/31/17,2359.25,-0.002220343,1537333
3/30/17,2364.5,0.003182011,1158742
3/29/17,2357,0.002338933,1146485
3/28/17,2351.5,0.005559119,1609213
3/27/17,2338.5,-0.002665529,1599064
3/24/17,2344.75,0.002029915,1586782
3/23/17,2340,-0.001067236,1623363
3/22/17,2342.5,0.000106735,1867679
3/21/17,2342.25,-0.0118131,2561718
3/20/17,2370.25,-0.00651773,1068659
3/17/17,2385.8,0.001280034,42536
3/16/17,2382.75,-0.000419507,373164
3/15/17,2383.75,0.007289246,603215
3/14/17,2366.5,-0.003578947,940754
3/13/17,2375,0.001370296,1037046
3/10/17,2371.75,0.002324353,1342959
3/9/17,2366.25,0.000951777,1770104
3/8/17,2364,-0.001056412,1624271
3/7/17,2366.5,-0.003788676,1287556
3/6/17,2375.5,-0.002414698,1359673
3/3/17,2381.25,-0.000314861,1336318
3/2/17,2382,-0.004804679,1730192
3/1/17,2393.5,0.013014496,2128134
2/28/17,2362.75,-0.00232239,1568227
2/27/17,2368.25,0.001374207,1147391
2/24/17,2365,0.00095228,1534649
2/23/17,2362.75,0.000741211,1552446
2/22/17,2361,0.000423729,1285982
2/21/17,2360,0.005110733,1621224
2/17/17,2348,0.001065871,1376784
2/16/17,2345.5,-0.002127207,1728823
2/15/17,2350.5,0.005776637,1512296
2/14/17,2337,0.004621171,1381949
2/13/17,2326.25,0.005837207,1199878
2/10/17,2312.75,0.003688836,1165082
2/9/17,2304.25,0.00611287,1347083
2/8/17,2290.25,0.000764693,1277856
2/7/17,2288.5,0.000874699,1191892
2/6/17,2286.5,-0.001964208,1157602
2/3/17,2291,0.00681169,1405520
2/2/17,2275.5,0.000439657,1409287
2/1/17,2274.5,0,1552967
1/31/17,2274.5,-0.000659051,1614719
1/30/17,2276,-0.005679336,1839106
1/27/17,2289,-0.002179599,935648
1/26/17,2294,0,1158788
1/25/17,2294,0.008573313,1373506
1/24/17,2274.5,0.005526083,1259276
1/23/17,2262,-0.001765225,1425498
1/20/17,2266,0.00198983,1709890
1/19/17,2261.5,-0.002206045,1380107
1/18/17,2266.5,0.001657275,1105488
1/17/17,2262.75,-0.004290429,1532405
1/13/17,2272.5,0.003976143,1183362
1/12/17,2263.5,-0.003083021,1747172
1/11/17,2270.5,0.002981778,1728267
1/10/17,2263.75,-0.000551876,1300368
1/9/17,2265,-0.002861545,1019957
1/6/17,2271.5,0.003201943,1542214
1/5/17,2264.25,0,1312627
1/4/17,2264.25,0.005216426,1385650
1/3/17,2252.5,0.007266629,1787898
12/30/16,2236.25,-0.00389755,1252004
12/29/16,2245,-0.000111346,883279
12/28/16,2245.25,-0.006965944,976944
12/27/16,2261,0.000442478,490809
12/23/16,2260,0.000553403,391513
12/22/16,2258.75,-0.000774165,832335
12/21/16,2260.5,-0.002647253,649932
12/20/16,2266.5,0.002876106,806369
12/19/16,2260,-0.003804058,920943
12/16/16,2268.63,0.002266402,49846
12/15/16,2263.5,0.002879929,461219
12/14/16,2257,-0.007148356,762001
12/13/16,2273.25,0.007646277,1050261
12/12/16,2256,-0.001769912,1011851
12/9/16,2260,0.005449894,1074015
12/8/16,2247.75,0.00491785,2103332
12/7/16,2236.75,0.012104072,2316709
12/6/16,2210,0.002608597,1475806
12/5/16,2204.25,0.005588504,1654461
12/2/16,2192,0,1666803
12/1/16,2192,-0.003069926,2145896
11/30/16,2198.75,-0.00226886,1931936
11/29/16,2203.75,0.001363172,1369657
11/28/16,2200.75,-0.004748445,1362563
11/25/16,2211.25,0.004771101,549990
11/23/16,2200.75,0.000227247,1091330
11/22/16,2200.25,0.003305974,1248668
11/21/16,2193,0.005617333,1198721
11/18/16,2180.75,-0.001602381,1268896
11/17/16,2184.25,0.005292832,1343037
11/16/16,2172.75,-0.002982678,1321970
11/15/16,2179.25,0.008678547,1425105
11/14/16,2160.5,-0.000462642,1782604
11/11/16,2161.5,-0.002653132,1876388
11/10/16,2167.25,0.003240366,3121001
11/9/16,2160.25,0.011589792,5251690
11/8/16,2135.5,0.003053077,1746007
11/7/16,2129,0.023557692,1753667
11/4/16,2080,-0.001679866,2053530
11/3/16,2083.5,-0.004182101,1790385
11/2/16,2092.25,-0.005466429,2005691
11/1/16,2103.75,-0.007665094,2248261
10/31/16,2120,-0.001765745,1356597
10/28/16,2123.75,0.00011773,2378169
10/27/16,2123.5,-0.004920337,1792363
10/26/16,2134,-0.001870907,1537900
10/25/16,2138,-0.002914772,1191225
10/24/16,2144.25,0.00445017,1004191
10/21/16,2134.75,-0.001052878,1404835
10/20/16,2137,-0.000467727,1602595
10/19/16,2138,0.002814259,930618
10/18/16,2132,0.004239284,1129535
10/17/16,2123,-0.001880583,1246192
10/14/16,2127,0.000352734,1834488
10/13/16,2126.25,-0.002463054,2175906
10/12/16,2131.5,-0.001405481,1465871
10/11/16,2134.5,-0.011347846,2231047
10/10/16,2159,0.005823433,948489
10/7/16,2146.5,-0.004637144,1952389
10/6/16,2156.5,0.001509346,1204885
10/5/16,2153.25,0.003963166,1364517
10/4/16,2144.75,-0.003947521,2136480
10/3/16,2153.25,-0.003355705,1396518
9/30/16,2160.5,0.005585292,1970339
9/29/16,2148.5,-0.006818444,2301830
9/28/16,2163.25,0.004877482,1727031
9/27/16,2152.75,0.006075476,1646591
9/26/16,2139.75,-0.008456905,1589775
9/23/16,2158,-0.004727315,1437077
9/22/16,2168.25,0.005565217,1520099
9/21/16,2156.25,0.011848897,1820963
9/20/16,2131,-0.000937647,1384209
9/19/16,2133,-0.003252397,1521664
9/16/16,2139.96,-0.00234965,57778
9/15/16,2145,0.011673152,396046
9/14/16,2120.25,-0.003992954,660376
9/13/16,2128.75,-0.013782719,1197641
9/12/16,2158.5,0.016841361,1444391
9/9/16,2122.75,-0.025143513,2069594
9/8/16,2177.5,-0.003204395,2081302
9/7/16,2184.5,0,1456179
9/6/16,2184.5,0.002984389,1618652
9/2/16,2178,0.004960203,1689404
9/1/16,2167.25,-0.001037105,1940121
8/31/16,2169.5,-0.002643374,1840324
8/30/16,2175.25,-0.001835494,1370618
8/29/16,2179.25,0.004957344,1237476
8/26/16,2168.5,-0.002300437,2520471
8/25/16,2173.5,-0.000689655,1498109
8/24/16,2175,-0.004690539,1498544
8/23/16,2185.25,0.001719001,1122043
8/22/16,2181.5,-0.000114587,1541071
8/19/16,2181.75,-0.000801466,1425490
8/18/16,2183.5,0.001720381,1195395
8/17/16,2179.75,0.001378201,1691822
8/16/16,2176.75,-0.004231473,1388816
8/15/16,2186,0.002637312,1080696
8/12/16,2180.25,-0.000687521,1264278
8/11/16,2181.75,0.004142216,1319494
8/10/16,2172.75,-0.002181401,1368393
8/9/16,2177.5,0.000919329,1189624
8/8/16,2175.5,-0.000574251,938624
8/5/16,2176.75,0.008104666,1363948
8/4/16,2159.25,0.001043115,1236750
8/3/16,2157,0.001974219,1360657
8/2/16,2152.75,-0.005428505,1956705
8/1/16,2164.5,-0.001729505,1652633
7/29/16,2168.25,0.001616815,1694118
7/28/16,2164.75,0.001967137,1616439
7/27/16,2160.5,-0.001271235,1630338
7/26/16,2163.25,0.000462481,1604347
7/25/16,2162.25,-0.002422145,1255515
7/22/16,2167.5,0.004402224,1122014
7/21/16,2158,-0.00438293,1296350
7/20/16,2167.5,0.004053272,1127419
7/19/16,2158.75,-0.000578704,1147388
7/18/16,2160,0.003367785,1191446
7/15/16,2152.75,-0.002085989,1490858
7/14/16,2157.25,0.005242311,1771801
7/13/16,2146,0.000116509,1609928
7/12/16,2145.75,0.007276141,1691878
7/11/16,2130.25,0.004597972,1459630
7/8/16,2120.5,0.013623327,1935584
7/7/16,2092,-0.00095511,1659861
7/6/16,2094,0.005401512,2047526
7/5/16,2082.75,-0.006440072,1858691
7/1/16,2096.25,0.00287047,1648070
6/30/16,2090.25,0.011370509,2282547
6/29/16,2066.75,0.018856298,2052803
6/28/16,2028.5,0.021914358,2272790
6/27/16,1985,-0.016596483,2972761
6/24/16,2018.5,-0.041434168,4135082
6/23/16,2105.75,0.013964127,1308321
6/22/16,2076.75,-0.001802451,1402829
6/21/16,2080.5,0.003013137,1394626
6/20/16,2074.25,-0.002342337,1592550
6/17/16,2079.12,-6.25E-05,52547
6/16/16,2079.25,0.003620128,423774
6/15/16,2071.75,-0.001325621,607373
6/14/16,2074.5,-0.002044498,1159913
6/13/16,2078.75,-0.008348241,1220867
6/10/16,2096.25,-0.008513657,1233697
6/9/16,2114.25,-0.001770538,1643544
6/8/16,2118,0.003672551,1299671
6/7/16,2110.25,0.000948654,1110603
6/6/16,2108.25,0.005005363,1259978
6/3/16,2097.75,-0.00285205,1738184
6/2/16,2103.75,0.002740705,1282372
6/1/16,2098,0.001431981,1310762
5/31/16,2095,-0.001072833,1606673
5/27/16,2097.25,0.003588946,1027854
5/26/16,2089.75,0.001197748,966381
5/25/16,2087.25,0.005903614,1438011
5/24/16,2075,0.014545899,1591313
5/23/16,2045.25,-0.002317073,1177953
5/20/16,2050,0.005518087,1571765
5/19/16,2038.75,-0.001347049,2052205
5/18/16,2041.5,-0.000978713,2076690
5/17/16,2043.5,-0.009332202,1976187
5/16/16,2062.75,0.009420113,1413480
5/13/16,2043.5,-0.007407407,1867129
5/12/16,2058.75,0.000364431,1792611
5/11/16,2058,-0.009386282,1459270
5/10/16,2077.5,0.011317999,1400565
5/9/16,2054.25,0.000730727,1363929
5/6/16,2052.75,0.004280822,1808770
5/5/16,2044,-0.001465559,1431702
5/4/16,2047,-0.004861449,1551545
5/3/16,2057,-0.008316259,1820986
5/2/16,2074.25,0.007406508,1296317
4/29/16,2059,-0.006513872,2399687
4/28/16,2072.5,-0.008728925,1925295
4/27/16,2090.75,0.001077328,1418675
4/26/16,2088.5,0.002520101,1216501
4/25/16,2083.25,-0.001318313,1271999
4/22/16,2086,0.001560437,1486065
4/21/16,2082.75,-0.007268827,1633196
4/20/16,2098,0.002029851,1460332
4/19/16,2093.75,0.003354499,1557462
4/18/16,2086.75,0.005662651,1389594
4/15/16,2075,-0.000722369,1199733
4/14/16,2076.5,0.000240848,1359458
4/13/16,2076,0.00985042,1629947
4/12/16,2055.75,0.010444827,1819008
4/11/16,2034.5,-0.0030626,1677144
4/8/16,2040.75,0.002825553,1761930
4/7/16,2035,-0.012255794,2042558
4/6/16,2060.25,0.010545677,1891760
4/5/16,2038.75,-0.009113001,1808361
4/4/16,2057.5,-0.003631961,1378158
4/1/16,2065,0.006580551,2046111
3/31/16,2051.5,-0.001824596,1713801
3/30/16,2055.25,0.003785104,1620038
3/29/16,2047.5,0.009615385,1545524
3/28/16,2028,-0.000246488,897439
3/24/16,2028.5,-0.000123229,1519099
3/23/16,2028.75,-0.006731946,1552850
3/22/16,2042.5,-0.000122384,1490146
3/21/16,2042.75,-0.00357061,1274436
3/18/16,2050.07,0.005059444,52556
3/17/16,2039.75,0.006290084,476949
3/16/16,2027,0.005581049,578697
3/15/16,2015.75,-0.001486068,917429
3/14/16,2018.75,-0.000618812,872903
3/11/16,2020,0.015713388,1216563
3/10/16,1988.75,-0.000125691,2725742
3/9/16,1989,0.004038364,1736155
3/8/16,1981,-0.009004502,1928239
3/7/16,1999,0.002005013,1623905
3/4/16,1995,0.002260739,2232860
3/3/16,1990.5,0.003529115,1541249
3/2/16,1983.5,0.002780586,1814091
3/1/16,1978,0.025136046,2031654
2/29/16,1929.5,-0.006820229,1822667
2/26/16,1942.75,-0.00397334,1873573
2/25/16,1950.5,0.010490869,1831957
2/24/16,1930.25,0.00743737,2313945
2/23/16,1916,-0.01045836,1597020
2/22/16,1936.25,0.011360669,1408894
2/19/16,1914.5,-0.001043569,1592600
2/18/16,1916.5,-0.003250553,1611837
