Date,3M_90_Imp_Vol,3M_110_Imp_Vol,3M_Spread,3M_put_Daily_Return,3M_call_Daily_Return,3M_Spread_Daily_Return
12/29/17,10.7424,8.9681,1.774,-0.002562674,0.120830365,-0.3593355
12/28/17,10.77,8.0013,2.769,-0.003230016,-0.017666847,0.040977444
12/27/17,10.8049,8.1452,2.66,-0.005110309,-0.011624803,0.01565483
12/26/17,10.8604,8.241,2.619,0.024121608,0.017118596,0.046344387
12/22/17,10.6046,8.1023,2.503,0.016350393,0.00361695,0.060144007
12/21/17,10.434,8.0731,2.361,0.003722836,0.016200091,-0.036719706
12/20/17,10.3953,7.9444,2.451,-0.02283281,-0.026409637,-0.010895884
12/19/17,10.6382,8.1599,2.478,0.04604765,0.069029215,-0.023255814
12/18/17,10.1699,7.633,2.537,-0.004833991,-0.011231006,0.015206082
12/15/17,10.2193,7.7197,2.499,-0.064654896,-0.090591021,0.025441116
12/14/17,10.9257,8.4887,2.437,0.010422639,0.039262977,-0.078638941
12/13/17,10.813,8.168,2.645,0.011704825,0.016008856,-0.001510004
12/12/17,10.6879,8.0393,2.649,0.003125411,0.002744066,0.004169826
12/11/17,10.6546,8.0173,2.638,-0.017230247,-0.022590398,0
12/8/17,10.8414,8.2026,2.638,-0.035110672,-0.052281314,0.022084463
12/7/17,11.2359,8.6551,2.581,-0.056290473,-0.008647745,-0.187086614
12/6/17,11.9061,8.7306,3.175,0.012182474,-0.027177002,0.138809182
12/5/17,11.7628,8.9745,2.788,-0.009465104,-0.008200073,-0.013446568
12/4/17,11.8752,9.0487,2.826,0.008149959,0.004072348,0.021322732
12/1/17,11.7792,9.012,2.767,0.051751848,0.017247607,0.181973516
11/30/17,11.1996,8.8592,2.341,-0.004302987,0.011716876,-0.06021678
11/29/17,11.248,8.7566,2.491,0.039489127,0.022286562,0.104656319
11/28/17,10.8207,8.5657,2.255,-0.015153997,0.010558977,-0.101951414
11/27/17,10.9872,8.4762,2.511,0.021048817,0.013972295,0.045378851
11/24/17,10.7607,8.3594,2.402,-0.011473874,-0.004691146,-0.034177724
11/22/17,10.8856,8.3988,2.487,-0.003131925,0.019667832,-0.073052553
11/21/17,10.9198,8.2368,2.683,-0.063393631,-0.042522028,-0.122054974
11/20/17,11.6589,8.6026,3.056,-0.028505958,-0.030004397,-0.024265645
11/17/17,12.001,8.8687,3.132,0.001828184,3.3828E-05,0.006750241
11/16/17,11.9791,8.8684,3.111,-0.07291836,-0.080337236,-0.050945699
11/15/17,12.9213,9.6431,3.278,0.052703187,0.067541238,0.01141623
11/14/17,12.2744,9.033,3.241,0.01012229,-0.006522002,0.059496568
11/13/17,12.1514,9.0923,3.059,0.011504012,0.008652918,0.020006669
11/10/17,12.0132,9.0143,2.999,0.047723705,0.035959731,0.084629295
11/9/17,11.466,8.7014,2.765,0.037769149,0.043796408,0.019166974
11/8/17,11.0487,8.3363,2.713,0.008525554,-0.005001074,0.052774544
11/7/17,10.9553,8.3782,2.577,0.025028537,0.025445822,0.023431295
11/6/17,10.6878,8.1703,2.518,0.005484736,0.021632301,-0.043676415
11/3/17,10.6295,7.9973,2.633,-0.024682296,-0.020526889,-0.036942209
11/2/17,10.8985,8.1649,2.734,0.013634799,-0.017969041,0.121410993
11/1/17,10.7519,8.3143,2.438,-0.004333855,0.054084207,-0.162487118
10/31/17,10.7987,7.8877,2.911,-0.018959972,-0.013470245,-0.033532537
10/30/17,11.0074,7.9954,3.012,0.042683389,0.036492565,0.059444249
10/27/17,10.5568,7.7139,2.843,-0.059326716,-0.057326164,-0.064802632
10/26/17,11.2226,8.183,3.04,-0.006726497,0.005616113,-0.038583175
10/25/17,11.2986,8.1373,3.162,0.037520661,0.024784333,0.072227874
10/24/17,10.89,7.9405,2.949,-0.000357999,-0.017884751,0.049839801
10/23/17,10.8939,8.0851,2.809,0.067087864,0.075203468,0.044626255
10/20/17,10.209,7.5196,2.689,-0.007784937,0.001238299,-0.03238575
10/19/17,10.2891,7.5103,2.779,0.009041964,0.003031679,0.025839793
10/18/17,10.1969,7.4876,2.709,-0.016588066,0.003632464,-0.068431912
10/17/17,10.3689,7.4605,2.908,0.012944004,0.003186855,0.038942479
10/16/17,10.2364,7.4368,2.799,-0.010660404,-0.018360855,0.010104655
10/13/17,10.3467,7.5759,2.771,-0.017640636,-0.040648862,0.051213961
10/12/17,10.5325,7.8969,2.636,0.004539862,0.018981135,-0.036197441
10/11/17,10.4849,7.7498,2.735,-0.012684094,-0.026431497,0.028195489
10/10/17,10.6196,7.9602,2.66,-0.025778398,-0.022292642,-0.035882566
10/9/17,10.9006,8.1417,2.759,0.041505035,0.029708605,0.07815553
10/6/17,10.4662,7.9068,2.559,0.017756428,0.02242222,0.003136025
10/5/17,10.2836,7.7334,2.551,-0.032978193,-0.01221101,-0.090552585
10/4/17,10.6343,7.829,2.805,-0.007485184,-0.015170575,0.014466546
10/3/17,10.7145,7.9496,2.765,-0.004247133,0.012275251,-0.048847609
10/2/17,10.7602,7.8532,2.907,-0.011265483,-0.038140264,0.069536424
9/29/17,10.8828,8.1646,2.718,-0.017904198,-0.018512731,-0.015930485
9/28/17,11.0812,8.3186,2.762,-0.027683452,-0.023248714,-0.040972222
9/27/17,11.3967,8.5166,2.88,0.003849203,0.00887262,-0.010649261
9/26/17,11.353,8.4417,2.911,-0.003388462,0.004354499,-0.025443589
9/25/17,11.3916,8.4051,2.987,0.009383556,0.01563614,-0.007641196
9/22/17,11.2857,8.2757,3.01,0.031524203,0.03380345,0.02520436
9/21/17,10.9408,8.0051,2.936,-0.002134219,0.006411788,-0.024584718
9/20/17,10.9642,7.9541,3.01,-0.021324455,-0.027996383,-0.003311258
9/19/17,11.2031,8.1832,3.02,0.002075153,0.004640656,-0.004942339
9/18/17,11.1799,8.1454,3.035,-0.026115665,-0.017087004,-0.049483245
9/15/17,11.4797,8.287,3.193,-0.029824383,-0.066232478,0.079445571
9/14/17,11.8326,8.8748,2.958,-0.014639752,-0.009840455,-0.028571429
9/13/17,12.0084,8.963,3.045,-0.016486892,-0.018656798,-0.01039974
9/12/17,12.2097,9.1334,3.077,-0.011832404,-0.021407449,0.01786305
9/11/17,12.3559,9.3332,3.023,-0.075136418,-0.059901893,-0.119172494
9/8/17,13.3597,9.9279,3.432,0.033065009,0.024392509,0.059259259
9/7/17,12.9321,9.6915,3.24,0.006420433,-0.013015184,0.068954141
9/6/17,12.8496,9.8193,3.031,-0.028062266,-0.005731123,-0.09387145
9/5/17,13.2206,9.8759,3.345,0.107067493,0.098995137,0.131596752
9/1/17,11.942,8.9863,2.956,-0.022061353,-0.028213946,-0.002699055
8/31/17,12.2114,9.2472,2.964,-0.032507507,-0.014535999,-0.084620136
8/30/17,12.6217,9.3836,3.238,-0.006478275,-0.004012143,-0.013706975
8/29/17,12.704,9.4214,3.283,0.011303932,0.018518719,-0.008756039
8/28/17,12.562,9.2501,3.312,0.007668613,0.012544469,-0.005405405
8/25/17,12.4664,9.1355,3.33,-0.03035017,-0.044603639,0.010622155
8/24/17,12.8566,9.562,3.295,-0.002869641,-0.004113941,0.0009113
8/23/17,12.8936,9.6015,3.292,0.069298391,0.090682933,0.011367127
8/22/17,12.058,8.8032,3.255,-0.102760622,-0.118013045,-0.058704453
8/21/17,13.439,9.9811,3.458,-0.034061914,-0.035195066,-0.030829596
8/18/17,13.9129,10.3452,3.568,-0.02081134,0.00615645,-0.091418386
8/17/17,14.2086,10.2819,3.927,0.202396568,0.23117359,0.133006347
8/16/17,11.8169,8.3513,3.466,-0.023428978,-0.015060738,-0.042805855
8/15/17,12.1004,8.479,3.621,-0.011639399,-0.012715121,-0.009302326
8/14/17,12.2429,8.5882,3.655,-0.138394302,-0.169242972,-0.055799535
8/11/17,14.2094,10.3378,3.871,-0.009618467,-0.022827597,0.027335456
8/10/17,14.3474,10.5793,3.768,0.225153065,0.275567291,0.102721686
8/9/17,11.7107,8.2938,3.417,0.0199892,0.007850095,0.050738007
8/8/17,11.4812,8.2292,3.252,0.054114104,0.065048016,0.027488152
8/7/17,10.8918,7.7266,3.165,-0.009620281,-0.012739098,-0.00220681
8/4/17,10.9976,7.8263,3.172,-0.005668924,-0.000281024,-0.0182606
8/3/17,11.0603,7.8285,3.231,0.034291539,0.029185565,0.04664723
8/2/17,10.6936,7.6065,3.087,0.022753139,0.010226443,0.055023923
8/1/17,10.4557,7.5295,2.926,-0.027105239,-0.028877654,-0.022712091
7/31/17,10.747,7.7534,2.994,0.002855437,0.008782316,-0.011881188
7/28/17,10.7164,7.6859,3.03,0.013055028,0.011475647,0.017119839
7/27/17,10.5783,7.5987,2.979,0.021337607,0.013727688,0.04124432
7/26/17,10.3573,7.4958,2.861,0.003108899,-0.003456619,0.020692116
7/25/17,10.3252,7.5218,2.803,-0.013038159,-0.01629525,-0.004616477
7/24/17,10.4616,7.6464,2.816,0.008191508,0.007072583,0.011494253
7/21/17,10.3766,7.5927,2.784,-0.014483669,0.001305586,-0.054989817
7/20/17,10.5291,7.5828,2.946,0.009327249,-0.016153517,0.081100917
7/19/17,10.4318,7.7073,2.725,-0.024116899,0.019605509,-0.129671032
7/18/17,10.6896,7.5591,3.131,0.009443227,-0.039577669,0.151526296
7/17/17,10.5896,7.8706,2.719,-0.003266098,0.02143951,-0.068516615
7/14/17,10.6243,7.7054,2.919,-0.024908909,-0.034156858,0.0003427
7/13/17,10.8957,7.9779,2.918,-0.020892867,-0.02757158,-0.002051984
7/12/17,11.1282,8.2041,2.924,-0.048554646,-0.046600272,-0.054027823
7/11/17,11.6961,8.6051,3.091,-0.003951458,-0.020076525,0.043551654
7/10/17,11.7425,8.7814,2.962,-0.00405418,-0.005751681,0.001352265
7/7/17,11.7903,8.8322,2.958,-0.055408231,-0.063750848,-0.029527559
7/6/17,12.4819,9.4336,3.048,0.073379427,0.083474985,0.04312115
7/5/17,11.6286,8.7068,2.922,-0.014876061,-0.02099286,0.004123711
7/3/17,11.8042,8.8935,2.91,0.016455555,0.029256889,-0.020861373
6/30/17,11.6131,8.6407,2.972,-0.011196635,-0.020351012,0.016068376
6/29/17,11.7446,8.8202,2.925,0.073222885,0.084922138,0.039815144
6/28/17,10.9433,8.1298,2.813,-0.042999563,-0.052824122,-0.013674614
6/27/17,11.435,8.5832,2.852,0.060308217,0.079946652,0.005287275
6/26/17,10.7846,7.9478,2.837,-0.01907352,-0.027625526,0.006028369
6/23/17,10.9943,8.1736,2.82,-0.012556022,-0.023044559,0.018786127
6/22/17,11.1341,8.3664,2.768,-0.012654299,-0.018108841,0.004354136
6/21/17,11.2768,8.5207,2.756,0.012307333,0.009812868,0.019985196
6/20/17,11.1397,8.4379,2.702,0.029994545,0.026683377,0.040832049
6/19/17,10.8153,8.2186,2.596,-0.029260499,-0.024058329,-0.045588235
6/16/17,11.1413,8.4212,2.72,-0.044346088,-0.053202015,-0.015918958
6/15/17,11.6583,8.8944,2.764,0.023259284,0.021663718,0.028656494
6/14/17,11.3933,8.7058,2.687,0.007080225,0.001841239,0.024399543
