Date,PX_LAST,PX_VOLUME
12/29/17,13.875,6695
12/28/17,13.725,5157
12/27/17,13.725,8581
12/26/17,13.775,6470
12/22/17,13.825,6538
12/21/17,13.825,9992
12/20/17,13.275,21150
12/19/17,13.275,17863
12/18/17,13.325,16769
12/15/17,13.575,18605
12/14/17,13.925,20880
12/13/17,13.925,17768
12/12/17,14.075,15128
12/11/17,14.075,15739
12/8/17,14.275,34003
12/7/17,14.375,7932
12/6/17,14.675,6701
12/5/17,14.725,11505
12/4/17,14.825,11848
12/1/17,14.875,24398
11/30/17,14.675,15033
11/29/17,14.725,6722
11/28/17,14.475,7951
11/27/17,14.575,4865
11/24/17,14.525,4133
11/22/17,14.575,5980
11/21/17,14.675,8397
11/20/17,14.975,9645
11/17/17,15.325,8039
11/16/17,15.425,6750
11/15/17,15.075,32597
11/14/17,14.825,28355
11/13/17,14.725,15957
11/10/17,14.575,25296
11/9/17,14.275,37768
11/8/17,14.2,11979
11/7/17,14.15,20291
11/6/17,14.025,9090
11/3/17,14.125,11169
11/2/17,14.025,14090
11/1/17,13.925,16662
10/31/17,13.825,11853
10/30/17,13.975,14379
10/27/17,13.925,13462
10/26/17,14.325,10619
10/25/17,14.275,20635
10/24/17,14.225,11023
10/23/17,14.275,9192
10/20/17,14,7230
10/19/17,14.075,13088
10/18/17,13.525,21014
10/17/17,13.625,25545
10/16/17,13.625,17695
10/13/17,13.875,18733
10/12/17,14.075,12989
10/11/17,14.075,13878
10/10/17,14.275,12272
10/9/17,14.425,7563
10/6/17,14.325,8107
10/5/17,14.225,6880
10/4/17,14.475,8179
10/3/17,14.475,10857
10/2/17,14.525,7337
9/29/17,14.775,9148
9/28/17,14.875,8511
9/27/17,14.975,8175
9/26/17,14.975,6022
9/25/17,15.125,11272
9/22/17,15.175,8680
9/21/17,15.025,11196
9/20/17,13.775,30946
9/19/17,13.925,28250
9/18/17,13.775,20308
9/15/17,14.175,12002
9/14/17,14.275,15015
9/13/17,14.225,14621
9/12/17,14.525,12463
9/11/17,14.775,13665
9/8/17,15.075,10442
9/7/17,14.925,12921
9/6/17,14.925,19355
9/5/17,14.575,16906
9/1/17,14.425,12058
8/31/17,14.425,13314
8/30/17,14.625,10732
8/29/17,14.575,16268
8/28/17,14.525,10089
8/25/17,14.6,14145
8/24/17,14.675,15876
8/23/17,14.775,13955
8/22/17,14.375,12586
8/21/17,14.975,11411
8/18/17,15.325,23113
8/17/17,15.175,30585
8/16/17,14.225,37152
8/15/17,14.425,22679
8/14/17,14.325,31522
8/11/17,15.725,36151
8/10/17,15.425,39079
8/9/17,14.325,26581
8/8/17,14.175,24078
8/7/17,13.875,6403
8/4/17,13.975,10592
8/3/17,13.875,8507
8/2/17,13.725,11369
8/1/17,13.525,11222
7/31/17,13.675,7989
7/28/17,13.825,11531
7/27/17,13.825,14966
7/26/17,13.925,10327
7/25/17,13.925,9132
7/24/17,13.875,5606
7/21/17,14.025,12640
7/20/17,14.075,7430
7/19/17,13.525,30951
7/18/17,13.725,19259
7/17/17,13.675,11906
7/14/17,13.7,15208
7/13/17,14.025,14039
7/12/17,14.125,11821
7/11/17,14.325,14564
7/10/17,14.475,9207
7/7/17,14.775,11293
7/6/17,14.875,17699
7/5/17,14.575,14547
7/3/17,14.575,7513
6/30/17,14.425,10277
6/29/17,14.375,19937
6/28/17,14.275,7299
6/27/17,14.375,12060
6/26/17,14.225,9055
6/23/17,14.5,5640
6/22/17,14.575,9954
6/21/17,13.825,36282
6/20/17,13.875,29964
6/19/17,13.95,19836
6/16/17,14.175,17170
6/15/17,14.375,15983
6/14/17,14.225,14949
6/13/17,14.325,15681
6/12/17,14.525,12641
6/9/17,14.5,15427
6/8/17,14.525,9225
6/7/17,14.725,6348
6/6/17,14.775,8601
6/5/17,14.625,5331
6/2/17,14.575,8196
6/1/17,14.525,10488
5/31/17,14.675,15836
5/30/17,14.725,12239
5/26/17,14.95,9123
5/25/17,15.075,7909
5/24/17,15.075,7768
5/23/17,15.175,9061
5/22/17,14.975,8397
5/19/17,15.225,24030
5/18/17,15.875,21272
5/17/17,14.975,51527
5/16/17,14.125,17622
5/15/17,14.175,11790
5/12/17,14.425,10966
5/11/17,14.375,15669
5/10/17,14.425,9391
5/9/17,14.325,12198
5/8/17,14.325,13698
5/5/17,14.225,10969
5/4/17,14.125,7653
5/3/17,14.325,7899
5/2/17,14.225,8460
5/1/17,14.125,9002
4/28/17,14.475,7220
4/27/17,14.575,5252
4/26/17,14.525,5820
4/25/17,14.425,7075
4/24/17,14.725,12986
4/21/17,15.175,11817
4/20/17,15.375,10544
4/19/17,15.125,35426
4/18/17,15.175,16487
4/17/17,15.225,11596
4/13/17,15.825,12944
4/12/17,15.575,11440
4/11/17,15.525,18154
4/10/17,15.425,10707
4/7/17,15.225,9022
4/6/17,14.975,6085
4/5/17,15.275,8896
4/4/17,14.925,8051
4/3/17,15.075,8908
3/31/17,15.025,6194
3/30/17,15.025,4739
3/29/17,15.075,4618
3/28/17,15.225,8355
3/27/17,15.525,9058
3/24/17,15.925,8808
3/23/17,16.225,7488
3/22/17,15.275,36118
3/21/17,15.375,22083
3/20/17,14.975,11358
3/17/17,15.075,12261
3/16/17,15.225,9357
3/15/17,15.525,11494
3/14/17,15.775,13658
3/13/17,15.65,8480
3/10/17,15.775,5262
3/9/17,15.925,10816
3/8/17,15.975,6236
3/7/17,16.025,5431
3/6/17,15.975,5513
3/3/17,16.075,6046
3/2/17,16.425,6585
3/1/17,16.325,8403
2/28/17,16.425,8054
2/27/17,16.325,7306
2/24/17,16.675,11704
2/23/17,16.525,10727
2/22/17,16.075,7265
2/21/17,15.975,6443
2/17/17,15.775,7497
2/16/17,15.675,10781
2/15/17,14.775,51189
2/14/17,14.975,20270
